"lang"
{
"Language"	"swedish"
"Tokens"
{
"addon_game_name"	"Siltbreaker"
"[english]addon_game_name"	"Siltbreaker"
"DOTA_GameMode_15"	"Siltbreaker"
"[english]DOTA_GameMode_15"	"Siltbreaker"
"DOTA_GameMode_19"	"Siltbreaker"
"[english]DOTA_GameMode_19"	"Siltbreaker"
"DOTA_Tooltip_Ability_item_health_potion"	"Hälsodryck"
"[english]DOTA_Tooltip_Ability_item_health_potion"	"Health Potion"
"DOTA_Tooltip_Ability_item_mana_potion"	"Manadryck"
"[english]DOTA_Tooltip_Ability_item_mana_potion"	"Mana Potion"
"DOTA_Tooltip_ability_item_bag_of_gold"	"Guldsäck"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"Bag of Gold"
"DOTA_Tooltip_Ability_item_life_rune"	"Livsruna"
"[english]DOTA_Tooltip_Ability_item_life_rune"	"Life Rune"
"DOTA_Tooltip_ability_item_tombstone"	"Återuppliva lagkamrat"
"[english]DOTA_Tooltip_ability_item_tombstone"	"Resurrect Teammate"
"DOTA_Chat_Tombstone_Pinged"	"Stupad lagkamrat här."
"[english]DOTA_Chat_Tombstone_Pinged"	"Fallen teammate here."
"Dungeon_FoundChestItem"	"{s:player_name} hittade en skatt innehållandes: {s:locstring_value}"
"[english]Dungeon_FoundChestItem"	"{s:player_name} found a treasure containing: {s:locstring_value}"
"Dungeon_FoundChestGold"	"{s:player_name} hittade en skatt innehållandes: <font color='#ffd825'>{d:int_value}</font><panel class='CombatEventGoldIcon'/>"
"[english]Dungeon_FoundChestGold"	"{s:player_name} found a treasure containing: <font color='#ffd825'>{d:int_value}</font><panel class='CombatEventGoldIcon'/>"
"Dungeon_FoundChestTrap"	"{s:player_name} hittade en skatt innehållandes: <font color='#ffd825'>{s:locstring_value}</font>!"
"[english]Dungeon_FoundChestTrap"	"{s:player_name} found a treasure containing: <font color='#ffd825'>{s:locstring_value}</font>!"
"Dungeon_FoundLifeRune"	"{s:player_name} hittade en {s:locstring_value}!"
"[english]Dungeon_FoundLifeRune"	"{s:player_name} found a {s:locstring_value}!"
"Dungeon_KilledByCreature"	"{s:player_name} dödades av {s:locstring_value}"
"[english]Dungeon_KilledByCreature"	"{s:player_name} was killed by {s:locstring_value}"
"Dungeon_ReachedCheckpoint"	"{s:player_name} nådde en ny kontrollpunkt!"
"[english]Dungeon_ReachedCheckpoint"	"{s:player_name} reached a new checkpoint!"
"Dungeon_KeyItem"	"{s:player_name} hittade ett uppdragsföremål: {s:locstring_value}!"
"[english]Dungeon_KeyItem"	"{s:player_name} found a Quest Item: {s:locstring_value}!"
"start"	"Yhillas Bukt"
"[english]start"	"Yhilla's Cove"
"forest"	"Ylande Skogen"
"[english]forest"	"Howling Weald"
"forest_holdout"	"Korsvägsgarnisonen"
"[english]forest_holdout"	"Crossroads Garrison"
"darkforest_rescue"	"Benmjölsåsen"
"[english]darkforest_rescue"	"Bonemeal Ridge"
"darkforest_pass"	"Silkespassagen"
"[english]darkforest_pass"	"The Silkmire Pass"
"darkforest_death_maze"	"Gallarons Prövning"
"[english]darkforest_death_maze"	"Trial of Gallaron"
"underground_temple"	"Ermacors Tempel"
"[english]underground_temple"	"Temple of Ermacor"
"desert_start"	"Vägen till Kalabor"
"[english]desert_start"	"The Road to Kalabor"
"desert_town"	"Kalabor-oasen"
"[english]desert_town"	"Kalabor Oasis"
"desert_expanse"	"Kalabor-öknen"
"[english]desert_expanse"	"Kalabor Waste"
"desert_outpost"	"Norra utposten"
"[english]desert_outpost"	"Northern Outpost"
"desert_chasm"	"Dånande Kanjonen"
"[english]desert_chasm"	"Shatterblast Canyon"
"desert_fortress"	"Rhyziks Fäste"
"[english]desert_fortress"	"Rhyzik's Stronghold"
"kill_hellbears"	"Jaga Berserker Hellbears"
"[english]kill_hellbears"	"Hunt Berserker Hellbears"
"speak_to_the_chief"	"Hitta garnisonsbefälhavaren"
"[english]speak_to_the_chief"	"Find the Garrison Commander"
"learn_about_holdout"	"Tala med befälhavaren efter att ha besökt butiken"
"[english]learn_about_holdout"	"Speak to the Commander after visiting the shop"
"defend_the_camp"	"Se till att befälhavaren överlever anfallet"
"[english]defend_the_camp"	"Ensure the Commander survives the assault"
"speak_to_chief_holdout_complete"	"Tala med befälhavaren"
"[english]speak_to_chief_holdout_complete"	"Speak to the Commander"
"rescue_soldiers"	"Rädda de saknade soldaterna"
"[english]rescue_soldiers"	"Rescue the Missing Soldiers"
"rescue_the_captain"	"Rädda soldatkaptenen"
"[english]rescue_the_captain"	"Rescue the Soldier Captain"
"navigate_death_maze"	"Hitta Orb of Passage"
"[english]navigate_death_maze"	"Find the Orb of Passage"
"kill_spider_boss"	"Besegra Spindeldrottningen"
"[english]kill_spider_boss"	"Defeat the Spider Queen"
"kill_spider_eggs"	"Förstör äggsäckarna"
"[english]kill_spider_eggs"	"Destroy the Brood Sacs"
"navigate_underground_temple"	"Hitta utvägen till Kalabor-öknen"
"[english]navigate_underground_temple"	"Find the exit to Kalabor desert"
"find_entrance_to_the_underground"	"Använd Orbs of Passage för att öppna Grimwalporten"
"[english]find_entrance_to_the_underground"	"Use Orbs of Passage to open the Grimwal Gate"
"find_underground_temple"	"Hitta ingången till templet"
"[english]find_underground_temple"	"Find the entrance to the Temple"
"find_hidden_treasures"	"Plundra tempelskatterna"
"[english]find_hidden_treasures"	"Loot the Temple Treasures"
"learn_about_babyback"	"Tala med den ensamma resenären"
"[english]learn_about_babyback"	"Speak to the stranded traveler"
"start_escort"	"Eskortera Brigwyr till staden"
"[english]start_escort"	"Escort Brigwyr to town"
"escort_babyback_to_desert_town"	"Skydda Brigwyr från banditer"
"[english]escort_babyback_to_desert_town"	"Protect Brigwyr from bandits"
"kill_giant_burrowers"	"Besegra de Stora Sandgrävarna"
"[english]kill_giant_burrowers"	"Defeat the Giant Sandswarm Burrowers"
"reach_desert_outpost"	"Nå den norra utposten"
"[english]reach_desert_outpost"	"Reach the Northern Outpost"
"speak_to_the_captain"	"Tala med kapten Lightfoot"
"[english]speak_to_the_captain"	"Speak to Captain Lightfoot"
"kill_the_dire_captains"	"Döda Buzzik-kaptenerna"
"[english]kill_the_dire_captains"	"Kill the Buzzick Captains"
"assault_the_desert_fortress"	"Hitta Rhyziks lya"
"[english]assault_the_desert_fortress"	"Find Rhyzik's Lair"
"kill_sand_king"	"Besegra Rhyzik"
"[english]kill_sand_king"	"Defeat Rhyzik"
"consumed_orbs_of_passage"	"Förbrukade två Orbs Of Passage"
"[english]consumed_orbs_of_passage"	"Consumed Two Orbs Of Passage"
"welcome_brigwyr"	"Porten öppnas för Brigwyr"
"[english]welcome_brigwyr"	"The Gate Opens for Brigwyr"
"Dungeon_Zone"	"Zon"
"[english]Dungeon_Zone"	"Zone"
"Dungeon_ZoneTime"	"Zontid"
"[english]Dungeon_ZoneTime"	"Zone Time"
"Dungeon_Scoreboard_Kills"	"Dödade"
"[english]Dungeon_Scoreboard_Kills"	"Kills"
"Dungeon_Scoreboard_Deaths"	"Dödsfall"
"[english]Dungeon_Scoreboard_Deaths"	"Deaths"
"Dungeon_Scoreboard_GoldBags"	"Guldsäckar"
"[english]Dungeon_Scoreboard_GoldBags"	"GoldBags"
"Dungeon_Scoreboard_Potions"	"Drycker"
"[english]Dungeon_Scoreboard_Potions"	"Potions"
"desert_town_folk_07_06_lina"	"Varför tittar du på mig sådär?"
"[english]desert_town_folk_07_06_lina"	"Why're you giving me that look?"
"desert_town_folk_07_06_nevermore"	"Vi är ändå alla fördömda."
"[english]desert_town_folk_07_06_nevermore"	"We're all doomed anyway."
"desert_town_folk_07_01_templar_assassin"	"Åh! Öh... Hej."
"[english]desert_town_folk_07_01_templar_assassin"	"Oh! Uh... Hi."
"desert_town_folk_07_02_templar_assassin"	"Har aldrig sett dig i de här trakterna innan."
"[english]desert_town_folk_07_02_templar_assassin"	"Haven't seen you around here before."
"desert_town_folk_07_03_templar_assassin"	"Det händer inte särskilt mycket i den här staden nu för tiden..."
"[english]desert_town_folk_07_03_templar_assassin"	"This town doesn't have much going on these days..."
"desert_town_folk_07_04_templar_assassin"	"Nåväl, inget bra åtminstone."
"[english]desert_town_folk_07_04_templar_assassin"	"Well, nothing good anyway."
"desert_town_folk_07_05_templar_assassin"	"Jag brukar mest sitta och läsa..."
"[english]desert_town_folk_07_05_templar_assassin"	"Spend most my time reading..."
"desert_town_folk_07_06_templar_assassin"	"Med handelsvägarna stängda får vi inte många nya böcker."
"[english]desert_town_folk_07_06_templar_assassin"	"With trade routes closed, not many new books coming in."
"Dialog_RadiantSoldier_Rescued"	"Snälla! Hitta kaptenen!"
"[english]Dialog_RadiantSoldier_Rescued"	"Please! Find the Captain!"
