"lang"
{
	"Language"		"ukrainian"
	"Tokens"
	{		
		"addon_game_name"							"Режим демонстрації героя"

		"Refresh_Msg"								"Відновлено здоров’я й ману"
		"LevelUp_Msg"								"Рівень героя збільшено"
		"MaxLevel_Msg"								"Рівень героя максимальний"
		"FreeSpellsOn_Msg"							"Безкоштовні чари: увімкнено"
		"FreeSpellsOff_Msg"							"Безкоштовні чари: вимкнено"
		"InvulnerabilityOn_Msg"						"Невразливість: увімкнено"
		"InvulnerabilityOff_Msg"					"Невразливість: вимкнено"
		"SpawnAlly_Msg"								"Додано союзника"
		"MaxAllies_Msg"								"Не можна додати більше союзників"
		"SpawnEnemy_Msg"							"Додано ворога"		
		"MaxEnemies_Msg"							"Не можна додати більше ворогів"
		"LevelUpEnemy_Msg"							"Рівень ворогів збільшено"
		"MaxLevelEnemy_Msg"							"Максимальний рівень ворогів"
		"SpawnDummyTarget_Msg"						"Манекен додано"
		"RemoveSpawnedUnits_Msg"					"Усі герої прибрані"
		"LaneCreepsOn_Msg"							"Кріпи на лініях: увімкнено"
		"LaneCreepsOff_Msg"							"Кріпи на лініях: вимкнено"		

		"DemoOptions_MinimizeButton"				"Параметри демо"
		"DemoOptions_UnMinimizeButton"				"  >&#xD;&#xD;&#xD;&#xD;  >"
		"HeroDemo_ButtonCategory"					"Демо героя"
		"Hero_ButtonCategory"						"Герой"
		"Spawn_ButtonCategory"						"Відродження"
		"Misc_ButtonCategory"						"Налаштувати"
		"Global_ButtonCategory"						"Глобальні налаштування"
		"Map_ButtonCategory"						"Мапа"

		"SpawnCreeps_Button"						"Хвилі кріпів"
		"SpawnCreepsOn_Msg"							"Хвилі кріпів: увімк."
		"SpawnCreepsOff_Msg"						"Хвилі кріпів: вимк."
		"SpawnSingleCreepWave_Button"				"+"
		"SpawnSingleCreepWave_Tooltip"				"Додати одну хвилю кріпів"

		"TowersEnabled_Button"						"Вежі"
		"TowersEnabledOn_Msg"						"Вежі: увімк."
		"TowersEnabledOff_Msg"						"Вежі: вимк."

		"Refresh_Button"							"Оновити"
		"LevelUp_Button"							"+ Рівень"
		"MaxLevel_Button"							"До максимального"
		"UltraMaxLevel_Button"						"+"
		"UltraMaxLevel_Tooltip"						"До 30-го рівня з талантами, Скіпетром і Уламком"
		"FreeSpells_Button"							"Безкоштовні чари"
		"CombatLog_Button"							"Журнал бою"
		"Invulnerability_Button"					"Невразливість"
		"Reset_Button"								"Скинути"
		"InvulnOn_Button"							"Невразливість: увімк."
		"InvulnOff_Button"							"Невразливість: вимк."

		"Enemy_Button"								"+ Ворог"
		"SelectHero_Button"							"Оберіть ворожого героя"
		"LevelUpEnemy_Button"						"+ Рівень ворога"
		"MaxLevelEnemy_Button"						"Макс. рівень ворога"

		"Ally_Button"								"+ Союзник"
		"SelectAllyHero_Button"						"Оберіть союзного героя"
		"LevelUpAlly_Button"						"+ Рівень союзників"
		"MaxLevelAlly_Button"						"Макс. рівень союзників"

		"DummyTarget_Button"						"+ Манекен"
		"RemoveSpawns_Button"						"Вилучити"
		"SelectCosmetics_Button"					"Змінити спорядження"
		"ChangeHero_Button"							"Змінити героя"
		"PauseDemo_Button"							"Пауза"
		"QuitDemo_Button"							"Вийти"
		"Runes_ButtonCategory"						"РУНИ"
		"RuneSpawn_DoubleDamage_Button"				"Подвійна шкода"
		"RuneSpawn_Haste_Button"					"Пришвидшення"
		"RuneSpawn_Illusion_Button"					"Ілюзія"
		"RuneSpawn_Invisibility_Button"				"Невидимість"
		"RuneSpawn_Regeneration_Button"				"Регенерація"
		"RuneSpawn_Arcane_Button"					"Магія"

		"NewSpawn_ButtonCategory"					"ІСТОТИ"
		"SpawnUnits_ButtonCategory"					"ВІДРОДЖЕННЯ"
		"EditUnits_ButtonCategory"					"РЕД. ОБРАНИХ ІСТОТ"

		"LevelUpSelectedHeroes_Button"				"+ РІВЕНЬ"
		"MaxLevelUpSelectedHeroes_Button"			"МАКС. РІВЕНЬ"
		"ScepterSelectedHeroes_Button"				"СКІПЕТР"
		"ShardSelectedHeroes_Button"				"УЛАМОК"

		"ChooseHero_Button"							"Додавання героя"
		"SpawnEnemyHero_Button"						"ВОРОГ"
		"SpawnAllyHero_Button"						"СОЮЗНИК"

		"CombatLog_Button"							"Combat Log"
		"AutoSkill_Button"							"Автоздібність"
		"Reset_Button"								"Reset"
		"NewHero_Button"							"Новий герой"

		"SpawnDummyTargeT_Tooltip"					"Додати манекен"
		"Invulnerable_Tooltip"						"Перемкнути невразливість для обраних героїв"
		"ToggleShard_Tooltip"						"Перемкнути Уламок для обраних героїв"
		"ToggleScepter_Tooltip"						"Перемкнути Скіпетр для обраних героїв"

		}
}
