"lang"
{
"Language"	"dutch"
"Tokens"
{
"addon_game_name"	"Laatste-treffertrainer"
"[english]addon_game_name"	"Last-Hit Trainer"
"DOTA_HUD_Mode_Start_Welcome"	"LAATSTE-TREFFERTRAINER"
"[english]DOTA_HUD_Mode_Start_Welcome"	"LAST-HIT TRAINER"
"DOTA_HUD_Mode_Start_Description"	"• Krijg laatste treffers en afwijzingen om je score te verhogen"
"[english]DOTA_HUD_Mode_Start_Description"	"• Get last hits and denies to raise your score"
"DOTA_HUD_Mode_Start_Scoring"	"• 100 punten per laatste treffer, 50 punten per afwijzing"
"[english]DOTA_HUD_Mode_Start_Scoring"	"• 100 points per last hit, 50 per deny"
"DOTA_HUD_Mode_Start_Round_Duration"	"• Elke ronde duurt 3 minuten"
"[english]DOTA_HUD_Mode_Start_Round_Duration"	"• Each round lasts 3 minutes"
"DOTA_HUD_Mode_Start_Tiers"	"• Rangen: <span class=\"TierBronze\">Brons (600)</span>, <span class=\"TierSilver\">Zilver (1600)</span>, <span class=\"TierGold\">Goud (2600)</span>, <span class=\"TierDiamond\">Diamant (3600)</span>"
"[english]DOTA_HUD_Mode_Start_Tiers"	"• Tiers: <span class=\"TierBronze\">Bronze (600)</span>, <span class=\"TierSilver\">Silver (1600)</span>, <span class=\"TierGold\">Gold (2600)</span>, <span class=\"TierDiamond\">Diamond (3600)</span>"
"Round_Start_Button"	"Start"
"[english]Round_Start_Button"	"Start"
"CreepStats_Kills"	"Doden"
"[english]CreepStats_Kills"	"Kills"
"CreepStats_Denies"	"Afwijzingen"
"[english]CreepStats_Denies"	"Denies"
"CreepStats_Deny"	"Afwijzing"
"[english]CreepStats_Deny"	"Deny"
"CreepStats_Gold"	"Goud"
"[english]CreepStats_Gold"	"Gold"
"CreepStats_XP"	"XP"
"[english]CreepStats_XP"	"XP"
"Tier_None"	"Geen"
"[english]Tier_None"	"None"
"Tier_Bronze"	"Brons"
"[english]Tier_Bronze"	"Bronze"
"Tier_Silver"	"Zilver"
"[english]Tier_Silver"	"Silver"
"Tier_Gold"	"Goud"
"[english]Tier_Gold"	"Gold"
"Tier_Diamond"	"Diamant"
"[english]Tier_Diamond"	"Diamond"
"Round_End_Panel_Play_Again"	"Opnieuw spelen"
"[english]Round_End_Panel_Play_Again"	"Play Again"
"Round_End_Panel_New_Hero"	"Nieuwe held"
"[english]Round_End_Panel_New_Hero"	"New Hero"
"Round_End_Panel_Quit"	"Stoppen"
"[english]Round_End_Panel_Quit"	"Quit"
"Flyout_Panel_Title"	"Opties"
"[english]Flyout_Panel_Title"	"Options"
"Flyout_Restart_Round_Button"	"Ronde herstarten"
"[english]Flyout_Restart_Round_Button"	"Restart Round"
"Flyout_Choose_New_Hero_Button"	"Nieuwe held kiezen"
"[english]Flyout_Choose_New_Hero_Button"	"Choose New Hero"
"Quit_Button"	"Stoppen"
"[english]Quit_Button"	"Quit"
"DOTA_HUD_Round_Completed"	"RONDE VOLTOOID"
"[english]DOTA_HUD_Round_Completed"	"ROUND COMPLETED"
"Play_Again_Button"	"Opnieuw spelen"
"[english]Play_Again_Button"	"Play Again"
"Dismiss_Button"	"Sluiten"
"[english]Dismiss_Button"	"Close"
"Round_End_Stats_Score"	"EINDSCORE:"
"[english]Round_End_Stats_Score"	"FINAL SCORE:"
"Round_End_Stats_Longest_Streak"	"LANGSTE REEKS:"
"[english]Round_End_Stats_Longest_Streak"	"LONGEST STREAK:"
"Round_End_Tier_Achieved"	"BEHAALDE RANG:"
"[english]Round_End_Tier_Achieved"	"TIER ACHIEVED:"
"DOTA_HUD_Last_Hits"	"LAATSTE TREFFERS:"
"[english]DOTA_HUD_Last_Hits"	"LAST HITS:"
"DOTA_HUD_Current_Last_Hit_Streak"	"HUIDIGE REEKS:"
"[english]DOTA_HUD_Current_Last_Hit_Streak"	"CURRENT STREAK:"
"DOTA_HUD_Denies"	"AFWIJZINGEN:"
"[english]DOTA_HUD_Denies"	"DENIES:"
"DOTA_HUD_Percentage"	"% LAATSTE TREFFER OF AFWIJZING:"
"[english]DOTA_HUD_Percentage"	"% LASTHIT OR DENIED:"
"DOTA_HUD_Score"	"SCORE:"
"[english]DOTA_HUD_Score"	"SCORE:"
"DOTA_HUD_Timer"	"00:00"
"[english]DOTA_HUD_Timer"	"00:00"
"DOTA_HUD_Time_Remaining"	"RESTERENDE TIJD"
"[english]DOTA_HUD_Time_Remaining"	"TIME REMAINING"
}
}
