"lang"
{
"Language"	"spanish"
"Tokens"
{
"addon_game_name"	"Supremacía"
"[english]addon_game_name"	"Overthrow"
"DOTA_Tooltip_modifier_get_xp"	"Aura Dorada"
"[english]DOTA_Tooltip_modifier_get_xp"	"Golden Aura"
"DOTA_Tooltip_modifier_get_xp_Description"	"¡Obtén más oro y experiencia!"
"[english]DOTA_Tooltip_modifier_get_xp_Description"	"Gaining more gold and experience!"
"DOTA_Tooltip_modifier_get_xp_global"	"Aura Global"
"[english]DOTA_Tooltip_modifier_get_xp_global"	"Global Aura"
"DOTA_Tooltip_modifier_get_xp_global_Description"	"Obtén oro y experiencia"
"[english]DOTA_Tooltip_modifier_get_xp_global_Description"	"Gaining gold and experience"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua"	"Aura de la Fuente"
"[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua"	"Fountain Aura"
"DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"Curándote"
"[english]DOTA_Tooltip_modifier_fountain_aura_effect_lua_Description"	"Healing"
"DOTA_Tooltip_ability_item_bag_of_gold"	"300 de oro"
"[english]DOTA_Tooltip_ability_item_bag_of_gold"	"300 Gold"
"DOTA_Tooltip_ability_item_treasure_chest"	"Cofre del Tesoro"
"[english]DOTA_Tooltip_ability_item_treasure_chest"	"Treasure Chest"
"PointsToWin"	"+{d:points_to_win} más"
"[english]PointsToWin"	"+{d:points_to_win} more"
"PointsToWin_CloseToVictory"	"+{d:points_to_win} más"
"[english]PointsToWin_CloseToVictory"	"+{d:points_to_win} more"
"PointsToWin_VeryCloseToVictory"	"¡+{d:points_to_win} más!"
"[english]PointsToWin_VeryCloseToVictory"	"+{d:points_to_win} more!"
"PointsToWin_Victory"	"¡Victoria!"
"[english]PointsToWin_Victory"	"Victory!"
"InstructionsTitle"	"SUPREMACÍA"
"[english]InstructionsTitle"	"OVERTHROW"
"InstructionsObjective"	"OBJETIVO"
"[english]InstructionsObjective"	"OBJECTIVE"
"InstructionsObjectiveText"	"¡Acaba con tus enemigos! Sé el primero en alcanzar la meta de asesinatos, o bien forma parte el equipo con más asesinatos al final de una ronda para salir victorioso."
"[english]InstructionsObjectiveText"	"Slay your enemies! Be the first to earn the goal number of kills, or the team with the most kills when the round ends, and you will be victorious."
"InstructionsHowToPlay"	"CÓMO JUGAR"
"[english]InstructionsHowToPlay"	"HOW TO PLAY"
"InstructionsLines"	"-Acércate al Trono de Midas para ganar oro y experiencia adicional.<br>
-Coge las monedas gigantes que suelta el Jefazo para ganar incluso más oro.<br>
-Presta atención al reparto de objetos. Un icono en el mapa te mostrará dónde aparecerá el objeto.<br>
-Cuantos menos asesinatos tenga tu equipo, mejor será el objeto que recibirá de la entrega.<br>
-Mata a todo aquel que no sea de tu equipo."
"[english]InstructionsLines"	"-Approach the Midas Throne to earn bonus gold and experience.<br>
													-Snatch up any giant coins the Over Boss tosses to earn even more gold.<br>
													-Keep an eye out for item deliveries. An icon will appear on your map where an item will appear.<br>
													-The fewer kills your team has, the better the item you will receive from a delivery.<br>
													-Slay anyone who isn't on your team."
"Chest"	"EL OBJETO"
"[english]Chest"	"ITEM"
"ItemWillSpawn"	"¡ESTÁ A PUNTO DE SER ENTREGADO!"
"[english]ItemWillSpawn"	"IS ABOUT TO BE DELIVERED!"
"ItemHasSpawned"	"¡ESTÁ EN CAMINO!"
"[english]ItemHasSpawned"	"IS ON ITS WAY!"
"Unassigned"	"Equipo sin asignar"
"[english]Unassigned"	"Unassigned Team"
"Spectator"	"Equipo espectador"
"[english]Spectator"	"Spectator Team"
"Neutrals"	"Equipo neutral"
"[english]Neutrals"	"Neutral Team"
"NoTeam"	"Sin equipo"
"[english]NoTeam"	"No Team"
"DOTA_GoodGuys"	"Tigre Turquesa"
"[english]DOTA_GoodGuys"	"Teal Tiger"
"DOTA_BadGuys"	"Mono Amarillo"
"[english]DOTA_BadGuys"	"Yellow Monkey"
"DOTA_Custom1"	"Dragón Rosa"
"[english]DOTA_Custom1"	"Pink Dragon"
"DOTA_Custom2"	"Perro Naranja"
"[english]DOTA_Custom2"	"Orange Dog"
"DOTA_Custom3"	"Gallo Azul"
"[english]DOTA_Custom3"	"Blue Rooster"
"DOTA_Custom4"	"Carnero Verde"
"[english]DOTA_Custom4"	"Green Ram"
"DOTA_Custom5"	"Rata Marrón"
"[english]DOTA_Custom5"	"Brown Rat"
"DOTA_Custom6"	"Jabalí Cián"
"[english]DOTA_Custom6"	"Cyan Boar"
"DOTA_Custom7"	"Serpiente Oliva"
"[english]DOTA_Custom7"	"Olive Snake"
"DOTA_Custom8"	"Caballo Púrpura"
"[english]DOTA_Custom8"	"Purple Horse"
"OverthrowTextPickup"	"HA RECOGIDO"
"[english]OverthrowTextPickup"	"HAS PICKED UP"
"Remaining"	"QUEDAN"
"[english]Remaining"	"REMAINING"
"Overtime"	"¡TIEMPO EXTRA!"
"[english]Overtime"	"OVERTIME!"
"OvertimeInstructions"	"PUNTUACIÓN PARA GANAR"
"[english]OvertimeInstructions"	"SCORE TO WIN"
"KillMessageText"	"¡HA ASESINADO AL LÍDER"
"[english]KillMessageText"	"HAS KILLED THE LEADER"
"KillMessageBounty"	"POR 500 DE ORO ADICIONAL!"
"[english]KillMessageBounty"	"FOR 500 BONUS GOLD!"
"addonname"	"Supremacía"
"[english]addonname"	"Overthrow"
"overthrow_game_info_header_objective"	"Objetivo:"
"[english]overthrow_game_info_header_objective"	"Objective:"
"overthrow_brief_description"	"¡Asesina a tus enemigos! ¡El primer equipo en alcanzar el límite de víctimas gana!"
"[english]overthrow_brief_description"	"Slay your enemies! First team to hit the kill limit wins!"
"overthrow_game_info_header_how_to_play"	"Cómo jugar:"
"[english]overthrow_game_info_header_how_to_play"	"How To Play:"
"overthrow_game_info_throne"	"Acércate al <span class='midas_throne'>Trono de Midas</span> para ganar <span class='gold'>oro</span> y <span class='xp'>experiencia</span> adicional."
"[english]overthrow_game_info_throne"	"Approach the <span class='midas_throne'>Midas Throne</span> to earn bonus <span class='gold'>gold</span> and <span class='xp'>experience</span>."
"overthrow_game_info_coins"	"Atrapa las monedas que lanza el <span class='overboss'>Jefazo</span> para ganar más <span class='gold'>oro</span>."
"[english]overthrow_game_info_coins"	"Snatch up coins the <span class='overboss'>Overboss</span> tosses to earn more <span class='gold'>gold</span>."
"overthrow_game_info_items"	"Presta atención al reparto de <span class='treasure'>tesoros</span>. Un icono en el mapa te mostrará dónde aparecerá el <span class='items'>objeto</span>."
"[english]overthrow_game_info_items"	"Keep an eye out for <span class='treasure'>treasure</span> deliveries. An icon will appear on your map where an <span class='items'>item</span> will appear."
"overthrow_game_info_tips_header"	"Consejos:"
"[english]overthrow_game_info_tips_header"	"Tips:"
"overthrow_game_info_tip01"	"El líder actual tiene una corona de oro, y si lo matas conseguirás oro adicional."
"[english]overthrow_game_info_tip01"	"The current leader has a gold crown, and you will get extra gold for killing them."
"overthrow_game_info_tip02"	"Los objetos pueden regalarse a tus compañeros de equipo o venderse en tu base."
"[english]overthrow_game_info_tip02"	"Items can be given to teammates or sold at your base."
"overthrow_game_info_tip03"	"Puede que necesites coordinarte con un equipo adversario para deshacerte de un oponente fuerte."
"[english]overthrow_game_info_tip03"	"You may need to coordinate with an opposing team to take out a strong opponent."
"overthrow_game_info_tip04"	"Cuanto menos asesinatos haya cometido tu equipo, más fuertes serán los objetos que recibas mediante una entrega."
"[english]overthrow_game_info_tip04"	"The fewer kills your team has, the stronger items you will recieve from a delivery."
"npc_dota_hero_bounty_hunter"	"Bounty Hunter (Modificado)"
"[english]npc_dota_hero_bounty_hunter"	"Bounty Hunter (Modified)"
"npc_dota_hero_broodmother"	"Broodmother (Modificada)"
"[english]npc_dota_hero_broodmother"	"Broodmother (Modified)"
"npc_dota_hero_necrolyte"	"Necrophos (Modificado)"
"[english]npc_dota_hero_necrolyte"	"Necrophos (Modified)"
"npc_dota_hero_riki"	"Riki (Modificado)"
"[english]npc_dota_hero_riki"	"Riki (Modified)"
"npc_dota_hero_silencer"	"Silencer (Modificado)"
"[english]npc_dota_hero_silencer"	"Silencer (Modified)"
"npc_dota_hero_zuus"	"Zeus (Modificado)"
"[english]npc_dota_hero_zuus"	"Zeus (Modified)"
"npc_dota_hero_pudge"	"Pudge (Modificado)"
"[english]npc_dota_hero_pudge"	"Pudge (Modified)"
"DOTA_Tooltip_Ability_item_ward_sentry"	"Guardián Centinela (Modificado)"
"[english]DOTA_Tooltip_Ability_item_ward_sentry"	"Sentry Ward (Modified)"
"DOTA_Tooltip_Ability_item_dust"	"Polvo de la Revelación (Modificado)"
"[english]DOTA_Tooltip_Ability_item_dust"	"Dust of Appearance (Modified)"
