"dota"
{
"InfoScreenClose"	"Continuă"
"[english]InfoScreenClose"	"Continue"
"EndScreenClose"	"Închide"
"[english]EndScreenClose"	"Exit"
"basics_alert_TowerDamageTitle"	"Sub foc inamic!"
"[english]basics_alert_TowerDamageTitle"	"Incoming Fire!"
"basics_alert_TowerDamageBody"	"Turnurile inamice provoacă destul de mult damage. Retrage-te!"
"[english]basics_alert_TowerDamageBody"	"Enemy Towers deal a lot of damage. Retreat!"
"basics_alert_UseTangoTitle"	"Se vindecă"
"[english]basics_alert_UseTangoTitle"	"Healing"
"basics_alert_UseTangoBody"	"Înceacă sa folosești un Tango să îți menții bara de viață plină."
"[english]basics_alert_UseTangoBody"	"Try using a Tango to keep your health full."
"basics_alert_UseSalveBody"	"Folosește un Salve pentru vindecare. Dacă iei damage, efectul de vindecare va fi anulat."
"[english]basics_alert_UseSalveBody"	"Use a Salve to heal. Taking damage will cancel the healing effect."
"basics_alert_UseClarityTitle"	"Regenerează Mana"
"[english]basics_alert_UseClarityTitle"	"Restore Mana"
"basics_alert_FirstDeathBody"	"Când mori, vei pierde o parte din aurul pe care îl ai, iar eroul sau eroii responsabili pentru moartea ta vor obține experiență pentru a deveni mai puternici.\n\nVei învia la fântâna echipei tale atunci când timpul de așteptare expiră. Poți observa timpul de așteptare rezultat în urma morții sub portretul eroului tău, în partea de sus a ecranului."
"[english]basics_alert_FirstDeathBody"	"When you die, you will lose a portion of your gold, and the hero or heroes responsible for your death earn experience to become stronger.\n\nYou will respawn at your team's fountain when your death timer ends. You can see your death timer beneath your hero's portrait at the top of the screen."
"basics_alert_SecondDeathTitle"	"Deces: Retrage-te în caz de pericol"
"[english]basics_alert_SecondDeathTitle"	"Death: Retreat When in Danger"
"basics_alert_SecondDeathBody"	"Atenție unde îți poziționezi eroul. Dacă un turn, erou sau creep inamic încep să te atace, ia în considerare retragerea.\n\nFiecare nivel obținut crește durata în care un erou rămâne mort."
"[english]basics_alert_SecondDeathBody"	"Take care where you place your hero. If a Tower, hero, or enemy creep begins attacking you, consider retreating.\n\nEach level gained increases how long a hero remains dead."
"basics_alert_RespawnTitle"	"Reînvii curând"
"[english]basics_alert_RespawnTitle"	"Respawning Soon"
"basics_alert_RespawnBody"	"Eroul tău va reînvia la fântâna echipei într-o clipă.\n\nÎncearcă să te alături, din nou, repede luptei!"
"[english]basics_alert_RespawnBody"	"Your hero will respawn at your team's fountain in a moment.\n\nTry to get back into battle quickly!"
